name,specialization,fee,time_slot
Dr. James Wilson,Cardiology,2500.00,8:00 AM - 12:00 PM
Dr. Sarah Chen,Cardiology,2200.00,1:00 PM - 5:00 PM
Dr. Robert Kim,Neurology,2800.00,9:00 AM - 1:00 PM
Dr. Maria Garcia,Neurology,2600.00,2:00 PM - 6:00 PM
Dr. Lisa Wong,Pediatrics,1800.00,8:30 AM - 12:30 PM
Dr. David Patel,Pediatrics,1700.00,1:30 PM - 5:30 PM
Dr. Michael Brown,Dermatology,2000.00,10:00 AM - 2:00 PM
Dr. Emily Taylor,Orthopedics,2300.00,9:00 AM - 3:00 PM
Dr. Thomas Lee,General Surgery,3000.00,8:00 AM - 11:00 AM
Dr. Jennifer Scott,Gynecology,2100.00,11:00 AM - 4:00 PM